Gene,TSG.Training.Set,OG.Training.Set,Neutral.Genes,lincRNA
ENSG00000243485.5_11,0,0,1,1
ENSG00000237613.2_6,0,0,0,1
ENSG00000290826.1_1,0,0,1,1
ENSG00000238009.6_14,0,0,1,1
ENSG00000239945.1_12,0,0,1,1
ENSG00000239906.1_10,0,0,1,1
ENSG00000241860.7_11,0,0,1,1
ENSG00000241599.1_10,0,0,1,1
ENSG00000228463.4,0,0,0,1
ENSG00000286448.1_3,0,0,1,1
ENSG00000236601.1,0,0,1,1
ENSG00000236743.1,0,0,0,1
ENSG00000235146.2_8,0,0,1,1
ENSG00000291215.1_2,0,0,1,1
ENSG00000235373.1,0,0,0,1
ENSG00000229905.1_8,0,0,1,1
ENSG00000237491.10_14,0,0,1,1
ENSG00000290784.1_2,0,0,1,1
ENSG00000177757.2_6,0,0,0,1
ENSG00000225880.6_9,0,1,0,1
ENSG00000228794.12_12,0,1,0,1
ENSG00000288531.1_5,0,0,1,1
ENSG00000230368.2_6,0,0,0,1
ENSG00000272438.1_9,0,0,1,1
ENSG00000230699.2_9,0,0,1,1
ENSG00000241180.1_11,0,0,1,1
ENSG00000223764.2_10,0,0,0,1
ENSG00000272512.1_8,0,0,1,1
ENSG00000224969.1_10,0,0,0,0
ENSG00000242590.1_9,0,0,0,0
ENSG00000291156.1_2,0,0,1,1
ENSG00000273443.1_10,0,0,1,1
ENSG00000285812.1_4,0,0,0,0
ENSG00000223823.1_6,0,0,0,1
ENSG00000272141.1_8,0,0,1,1
ENSG00000205231.1_9,0,0,0,0
ENSG00000260179.1_8,0,0,1,1
ENSG00000230415.1_8,0,0,1,1
ENSG00000240731.1_11,0,0,0,0
ENSG00000224870.9_12,0,0,0,0
ENSG00000272455.1_9,0,0,1,1
ENSG00000225905.1_10,0,0,0,0
ENSG00000225285.1_9,0,0,0,1
ENSG00000290916.1_1,0,0,1,1
ENSG00000215014.5_11,0,0,0,0
ENSG00000286989.1_5,0,0,1,1
ENSG00000272106.1_8,0,0,0,0
ENSG00000272004.1_8,0,0,0,0
ENSG00000268575.1_11,0,0,0,0
ENSG00000290854.1_2,0,0,1,1
ENSG00000231050.3_10,0,0,0,0
ENSG00000233542.2_11,0,0,1,1
ENSG00000226969.1_11,0,0,1,1
ENSG00000271806.1_8,0,0,0,0
ENSG00000182873.5_10,0,1,0,0
ENSG00000234396.3_10,0,0,0,0
ENSG00000287356.1_5,0,0,0,0
ENSG00000272161.1_9,0,0,0,0
ENSG00000272420.1_9,0,0,0,0
ENSG00000224387.1_10,0,0,0,0
ENSG00000229393.1_10,0,0,0,0
ENSG00000272449.3_11,0,0,0,0
ENSG00000238164.6_17,1,0,0,0
ENSG00000225931.3_9,0,0,1,1
ENSG00000228037.1_8,0,0,1,1
ENSG00000289610.2_2,0,0,1,1
ENSG00000237058.1_8,0,0,0,0
ENSG00000285945.1_6,0,0,0,0
ENSG00000283259.1_8,0,0,0,0
ENSG00000233234.1_10,0,0,1,1
ENSG00000287396.1_3,0,0,1,1
ENSG00000231630.1_10,0,0,1,1
ENSG00000284745.1_8,0,0,1,1
ENSG00000177133.14_12,1,1,0,1
ENSG00000226286.1_10,0,1,0,0
ENSG00000279839.1_8,0,0,0,0
ENSG00000272235.1_8,0,1,0,0
ENSG00000287828.1_5,0,0,0,0
ENSG00000286518.1_5,0,1,0,0
ENSG00000272088.1_8,0,0,1,1
ENSG00000238260.3_11,0,0,1,1
ENSG00000227589.1_10,0,0,0,0
ENSG00000235131.1_9,0,0,0,0
ENSG00000272153.1_8,0,0,0,0
ENSG00000236423.8_10,0,0,0,1
ENSG00000233304.7_8,0,0,0,1
ENSG00000226374.3_9,0,0,1,1
ENSG00000284668.2_8,0,0,1,1
ENSG00000284703.1_9,0,0,1,1
ENSG00000235054.4_8,0,0,1,1
ENSG00000284694.1_8,0,0,1,1
ENSG00000227169.2_11,0,0,1,1
ENSG00000232596.3_8,0,0,1,1
ENSG00000287586.1_5,0,0,0,0
ENSG00000284739.1_9,0,0,1,1
ENSG00000284674.1_6,0,0,1,1
ENSG00000231510.1_10,0,0,1,1
ENSG00000284616.1_8,0,0,1,1
ENSG00000284692.2_9,0,0,1,1
ENSG00000284666.1_8,0,0,1,1
ENSG00000260972.1_8,0,0,1,1
ENSG00000236948.2_12,0,0,1,1
ENSG00000289893.1_1,0,0,1,1
ENSG00000226944.1_10,0,0,0,0
ENSG00000225077.3_8,0,1,0,0
ENSG00000271746.1_8,0,0,0,0
ENSG00000231868.1_10,0,0,0,0
ENSG00000228750.7_8,0,0,0,1
ENSG00000284744.1_6,0,0,1,1
ENSG00000237436.1_9,0,1,0,1
ENSG00000237365.1_11,0,0,0,0
ENSG00000237402.1_7,0,0,0,0
ENSG00000237728.2_10,0,0,0,0
ENSG00000225126.1_9,0,0,0,0
ENSG00000270171.1_8,1,0,0,0
ENSG00000270035.1_8,1,0,0,0
ENSG00000269978.1_8,0,0,0,0
ENSG00000269925.1_9,0,0,0,0
ENSG00000236266.1_10,0,0,0,0
ENSG00000284747.1_9,0,0,0,0
ENSG00000284716.1_8,0,0,1,1
ENSG00000238290.1_11,0,0,0,1
ENSG00000288816.1_1,0,0,1,1
ENSG00000227634.3_8,1,0,0,1
ENSG00000233645.1_10,0,0,1,1
ENSG00000232912.6_10,0,0,0,0
ENSG00000228423.2_12,0,0,0,0
ENSG00000230679.1_7,0,0,0,0
ENSG00000290109.1_1,0,0,0,0
ENSG00000228526.8_10,0,0,0,1
ENSG00000289914.1_1,0,0,1,1
ENSG00000234546.5_9,0,1,0,1
ENSG00000284652.1_6,0,0,1,1
ENSG00000284693.2_9,0,0,1,1
ENSG00000235263.1_10,0,0,1,1
ENSG00000179840.5_9,1,0,0,0
ENSG00000231789.4_12,0,0,0,0
ENSG00000280113.2_6,0,0,1,1
ENSG00000223989.1_8,0,0,0,0
ENSG00000285701.1_5,0,0,0,0
ENSG00000228150.1_9,0,0,0,0
ENSG00000241326.1_9,0,0,0,0
ENSG00000284735.1_9,0,0,1,1
ENSG00000284642.1_6,0,0,1,1
ENSG00000271989.1_8,0,0,0,0
ENSG00000203469.2_8,0,0,0,0
ENSG00000287727.1_5,0,0,0,0
ENSG00000272078.1_8,0,0,0,0
ENSG00000226849.1_9,0,0,0,0
ENSG00000230337.3_10,0,0,0,0
ENSG00000225602.5_7,0,0,0,0
ENSG00000284646.1_8,0,0,1,1
ENSG00000285833.1_6,0,0,0,0
ENSG00000235643.2_8,0,0,1,1
ENSG00000284708.1_6,0,0,0,0
ENSG00000177553.6_9,0,0,0,0
ENSG00000285646.2_7,0,0,1,1
ENSG00000287384.1_5,0,0,1,1
ENSG00000285604.1_6,0,0,0,0
ENSG00000229484.3_10,0,0,1,1
ENSG00000288927.2_2,0,0,1,1
ENSG00000272482.2_9,0,0,1,1
ENSG00000228338.1_8,0,0,1,1
ENSG00000233336.1,0,0,0,1
ENSG00000228229.2,0,0,0,1
ENSG00000259961.1_8,0,0,0,0
ENSG00000237445.2_11,0,0,1,1
ENSG00000289380.1_1,0,0,0,0
ENSG00000231606.2_11,0,0,0,0
ENSG00000234593.3_10,0,0,0,0
ENSG00000287756.1_5,0,0,0,0
ENSG00000175147.13_10,0,0,0,0
ENSG00000204464.7_7,0,0,0,0
ENSG00000233485.1_10,0,0,0,0
ENSG00000236045.1_11,0,0,0,0
ENSG00000228140.2_12,0,0,1,1
ENSG00000272510.1_8,0,0,0,0
ENSG00000237301.1_10,0,0,0,0
ENSG00000271742.1_8,0,0,1,1
ENSG00000237938.5_14,0,0,0,0
ENSG00000224459.2_10,0,0,0,0
ENSG00000179743.4_12,0,0,0,0
ENSG00000233078.1_10,0,0,0,0
ENSG00000227959.2_9,0,0,0,0
ENSG00000224621.1_8,0,0,1,1
ENSG00000234166.1_7,0,0,0,0
ENSG00000291077.1_2,0,0,1,1
ENSG00000288398.1_4,0,0,0,0
ENSG00000226029.1_6,0,0,0,1
ENSG00000290842.1_2,0,0,1,1
ENSG00000261135.1_8,0,0,1,1
ENSG00000285853.1_4,0,0,1,1
ENSG00000224174.2_10,0,0,1,1
ENSG00000233421.5_8,0,0,0,1
ENSG00000271732.1_8,0,0,1,1
ENSG00000291072.1_2,0,0,0,1
ENSG00000282143.1_8,0,0,1,1
ENSG00000290849.1_1,0,0,1,1
ENSG00000279151.1_8,0,0,1,1
ENSG00000282740.1_10,0,0,0,0
ENSG00000290850.1_1,0,0,0,0
ENSG00000290851.1_2,0,0,0,0
ENSG00000223643.6_11,0,0,0,0
ENSG00000228549.5_12,0,0,0,0
ENSG00000238142.4_13,0,0,0,0
ENSG00000272426.1_9,0,0,0,0
ENSG00000290122.1_1,0,0,0,0
ENSG00000286898.1_3,0,0,0,0
ENSG00000226526.1_8,0,0,0,0
ENSG00000204362.6_10,0,0,1,1
ENSG00000282843.1_13,0,0,1,1
ENSG00000227751.1_8,0,0,0,0
ENSG00000290096.1_1,0,0,0,0
ENSG00000236648.2_11,0,0,1,1
ENSG00000284653.1_6,0,0,1,1
ENSG00000261781.1_6,0,0,1,1
ENSG00000280222.1_8,0,0,0,0
ENSG00000230035.2_10,0,0,0,0
ENSG00000225387.1_8,0,0,1,1
ENSG00000272084.1_9,0,0,0,0
ENSG00000230424.3_10,0,0,0,0
ENSG00000235185.1_11,0,0,0,0
ENSG00000235434.1_9,0,0,0,0
ENSG00000227066.2_10,0,0,1,1
ENSG00000228105.2_8,0,0,1,1
ENSG00000284710.1_6,0,0,1,1
ENSG00000226664.1_10,0,0,0,0
ENSG00000236963.9_13,0,0,0,1
ENSG00000226487.1_11,0,0,1,1
ENSG00000284641.1_6,0,0,1,1
ENSG00000284743.1_8,0,0,1,1
ENSG00000289402.2_2,0,0,1,1
ENSG00000117242.7_10,0,0,0,0
ENSG00000233069.1_8,0,0,1,1
ENSG00000203394.2,0,0,0,0
ENSG00000287192.1_3,0,0,0,0
ENSG00000236936.1_8,0,0,0,0
ENSG00000231105.2_10,0,0,0,0
ENSG00000236009.1_9,0,0,1,1
ENSG00000233431.1_7,0,0,1,1
ENSG00000285959.1_4,0,0,0,0
ENSG00000228397.3_9,0,0,0,0
ENSG00000218510.9_11,0,1,0,0
ENSG00000285752.1_7,0,0,0,0
ENSG00000230068.2_9,0,0,0,0
ENSG00000271840.1,0,0,0,0
ENSG00000285873.1_4,0,0,0,0
ENSG00000279625.1_7,0,0,1,1
ENSG00000237200.1_7,0,0,0,0
ENSG00000225952.1_10,0,0,0,0
ENSG00000240553.1_11,0,0,0,0
ENSG00000289014.1_1,0,0,0,0
ENSG00000261326.4_9,0,0,0,1
ENSG00000284726.1_9,0,0,1,1
ENSG00000249087.9_11,0,0,0,0
ENSG00000271420.1_10,0,0,1,1
ENSG00000235052.1_10,0,0,1,1
ENSG00000285802.1_6,0,0,1,1
ENSG00000197880.10_8,0,0,0,1
ENSG00000236810.8_12,0,0,0,0
ENSG00000289835.1_1,0,0,0,0
ENSG00000232557.3_11,0,0,0,0
ENSG00000225315.2_11,0,0,0,0
ENSG00000230703.1_9,0,0,0,0
ENSG00000230023.2_11,0,0,0,0
ENSG00000232298.2_9,0,0,0,0
ENSG00000288982.1_1,0,0,1,1
ENSG00000286061.1_5,0,0,0,0
ENSG00000264443.1_10,0,0,0,0
ENSG00000284699.1_6,0,0,1,1
ENSG00000229162.1_8,0,0,0,0
ENSG00000261025.1_9,0,0,1,1
ENSG00000285823.1_6,0,0,1,1
ENSG00000233755.1_10,0,0,1,1
ENSG00000231953.2_10,0,0,1,1
ENSG00000284602.1_6,0,0,1,1
ENSG00000284657.1_6,0,0,1,1
ENSG00000272432.1_8,0,0,0,0
ENSG00000225643.1_8,0,0,1,1
ENSG00000233478.1_10,0,0,0,0
ENSG00000228172.5_11,0,0,0,0
ENSG00000272478.1_8,0,0,0,0
ENSG00000236528.3_11,0,0,0,0
ENSG00000284309.1_7,0,0,1,1
ENSG00000225891.2_10,0,0,0,0
ENSG00000289452.1_1,0,0,1,1
ENSG00000260063.1_8,1,0,0,0
ENSG00000290006.1_1,0,0,1,1
ENSG00000226698.1_8,0,0,0,0
ENSG00000289554.1_1,0,0,0,0
ENSG00000224311.1_12,0,0,1,1
ENSG00000241169.1_10,0,0,0,0
ENSG00000237429.1_8,0,0,0,1
ENSG00000233975.2_10,0,0,0,0
ENSG00000225886.3_16,0,0,0,0
ENSG00000287244.1_3,0,0,1,1
ENSG00000269971.1_9,0,0,0,0
ENSG00000270031.1_9,0,0,0,0
ENSG00000286433.1_5,0,0,0,0
ENSG00000227050.1_10,0,0,0,0
ENSG00000289576.2_2,0,0,1,1
ENSG00000290123.1_1,0,0,0,0
ENSG00000270605.1_8,0,0,0,0
ENSG00000271398.1_8,0,0,1,1
ENSG00000242125.3_8,0,1,0,0
ENSG00000279443.1_7,0,0,1,1
ENSG00000197989.15_11,0,1,0,0
