gene_id,score,gene_name
ENSG00000222041.13_9,0.9991999836860405,CYTOR
ENSG00000232677.11_13,0.9991577672686117,LINC00665
ENSG00000254166.4_11,0.9991124332749943,CASC19
ENSG00000251562.10_9,0.9990811811683491,MALAT1
ENSG00000244649.5_8,0.9989597839844735,LINC02086
ENSG00000214145.8_10,0.9989468549518071,LINC00887
ENSG00000225783.9_12,0.998906318245096,MIAT
ENSG00000245532.11_10,0.9988921732238667,NEAT1
ENSG00000255717.9_9,0.9986975359644013,SNHG1
ENSG00000249550.8_11,0.9986759701076476,LINC01234
ENSG00000251381.8_9,0.998556974770553,LINC00958
ENSG00000214049.8_9,0.9985072541392257,UCA1
ENSG00000214548.18_11,0.998475099999387,MEG3
ENSG00000188185.13_10,0.9984036316965075,LINC00265
ENSG00000223768.4_9,0.9983866168249907,LINC00205
ENSG00000269416.7_10,0.9983258162103431,LINC01224
ENSG00000174365.22_10,0.9982928318735682,SNHG11
ENSG00000268388.6_7,0.9981949075405577,FENDRR
ENSG00000213468.7_13,0.9981932293574373,FIRRE
ENSG00000266976.3_9,0.9981048144338948,ENSG00000266976
ENSG00000215458.8_9,0.9980881635217277,AATBC
ENSG00000234722.5_10,0.9978856060767418,LINC01287
ENSG00000196756.15_13,0.9978807964879752,SNHG17
ENSG00000255571.10_10,0.9977489806888884,MIR9-3HG
ENSG00000238266.3_7,0.9975680222751009,LINC00707
ENSG00000253230.11_13,0.9974418053890713,MIR124-1HG
ENSG00000269834.8_12,0.9974062615240505,ZNF528-AS1
ENSG00000233901.8_11,0.9973847896630074,LINC01503
ENSG00000206337.12_8,0.9973185335103057,HCP5
ENSG00000130600.21_12,0.9972690915706234,H19
ENSG00000262877.5_11,0.9970574218461237,ENSG00000262877
ENSG00000233237.8_9,0.9970320844019801,LINC00472
ENSG00000232044.8_11,0.997019669088492,SILC1
ENSG00000177133.14_12,0.9969656876327542,PRDM16-DT
ENSG00000242147.3_11,0.996938528535749,LASTR
ENSG00000255794.11_8,0.9968920377986662,RMST
ENSG00000230937.13_8,0.996765401928745,MIR205HG
ENSG00000237523.2_8,0.9967585003053868,LINC00857
ENSG00000228742.11_10,0.9967556839021211,LINC02577
ENSG00000233639.9_11,0.9966824030396322,PANTR1
ENSG00000233922.4_9,0.9966619729706937,LINC01694
ENSG00000163364.12_14,0.9966267312037757,LINC01116
ENSG00000251442.8_11,0.9966118290985867,LINC01094
ENSG00000203709.13_12,0.9965485212564476,MIR29B2CHG
ENSG00000256268.3_10,0.9964772233568986,LINC02454
ENSG00000250337.9_11,0.9963871124702827,PURPL
ENSG00000214039.9_11,0.9963868586727943,LINC02418
ENSG00000230590.13_12,0.9963127101360605,FTX
ENSG00000273142.1_8,0.9962858017856151,LINC02604
ENSG00000237424.1_8,0.996230328861837,FOXD2-AS1
ENSG00000238113.7_8,0.9962112061100424,LINC01410
ENSG00000259439.3_11,0.9961527959599229,LINC01833
ENSG00000227388.3_11,0.9961352117387696,ENSG00000227388
ENSG00000226777.9_10,0.9960569258152112,FAM30A
ENSG00000245750.11_11,0.9960382570692482,DRAIC
ENSG00000259692.6_12,0.9960269720657368,ENSG00000259692
ENSG00000245812.5_11,0.9958571984823541,LINC02202
ENSG00000259527.2_6,0.9956968062346689,LINC00052
ENSG00000153363.15_10,0.995516016196648,LINC00467
ENSG00000265206.6_10,0.9954413562105513,MIR142HG
ENSG00000281103.4_10,0.995427253508545,TRG-AS1
ENSG00000215386.15_11,0.9953305917948476,MIR99AHG
ENSG00000270816.6_9,0.9953228843318367,LINC00221
ENSG00000249395.4_9,0.9952697240741754,CASC9
ENSG00000247095.5_9,0.9952448345546953,MIR210HG
ENSG00000246430.9_13,0.9951563976334282,LINC00968
ENSG00000275216.2_10,0.9951300213254572,ENSG00000275216
ENSG00000260032.2_8,0.9951073556454944,NORAD
ENSG00000267530.5_10,0.9950933794720034,LINC01836
ENSG00000234546.5_9,0.9950796266232182,LNCTAM34A
ENSG00000249859.14_10,0.9950782874147797,PVT1
ENSG00000232956.10_9,0.9950249125568652,SNHG15
ENSG00000247381.3_9,0.9949924926982958,PLUT
ENSG00000223784.2_8,0.9949716846055918,LINP1
ENSG00000235823.5_10,0.9949556305657107,OLMALINC
ENSG00000258441.1_8,0.994836302330739,LINC00641
ENSG00000228221.6_10,0.994729603770704,LINC00578
ENSG00000225470.9_9,0.9946005660683721,JPX
ENSG00000253417.5_8,0.994499920721248,LINC02159
ENSG00000253716.8_12,0.9944950241032928,MINCR
ENSG00000261455.1_6,0.9944883808468912,LINC01003
ENSG00000230838.2_7,0.9944715985799369,LINC01614
ENSG00000228794.12_12,0.994469733346614,LINC01128
ENSG00000224259.9_10,0.9944118865199707,LINC01133
ENSG00000267374.3_14,0.9943968970881164,MIR924HG
ENSG00000259974.5_11,0.9943585188247077,LINC00261
ENSG00000178977.4_8,0.9943348580310872,LINC00324
ENSG00000275874.1_10,0.9942457382387289,PICSAR
ENSG00000261742.6_9,0.9942430518875356,LINC00922
ENSG00000251191.8_9,0.9942129831155845,LINC00589
ENSG00000272512.1_8,0.9941560425021909,ENSG00000272512
ENSG00000205054.9_10,0.9941470961463097,LINC01121
ENSG00000254377.8_10,0.9940348042160575,MIR124-2HG
ENSG00000231971.6_11,0.9940302805237458,CT69
ENSG00000243144.7_11,0.9939720911495837,LINC02932
ENSG00000223403.7_9,0.9939664485124902,MEG9
ENSG00000267296.2_10,0.9938771323097848,CEBPA-DT
ENSG00000228223.3_9,0.9937442599401589,HCG11
ENSG00000267327.2_10,0.9935750328735348,ENSG00000267327
ENSG00000245694.12_10,0.9934827582541362,CRNDE
ENSG00000228705.4_12,0.9934733800789666,LINC00659
ENSG00000258955.2_9,0.9934259175195591,LINC00519
ENSG00000253669.4_9,0.9933883519138518,GASAL1
ENSG00000267107.9_12,0.9933725336811622,PCAT19
ENSG00000176659.11_9,0.9933300013158004,LINC02910
ENSG00000249574.1_5,0.9932384357079316,ENSG00000249574
ENSG00000259230.1_7,0.9929960081388047,LINC02323
ENSG00000230176.3_9,0.9929749137247498,LINC01433
ENSG00000224924.9_12,0.9929100697171698,LINC00320
ENSG00000226453.4_12,0.99282808637709,LINC02542
ENSG00000250682.6_9,0.9926810793497771,LINC00491
ENSG00000225127.4_11,0.9926711134217098,LINC00237
ENSG00000215483.12_14,0.99263247450803,LINC00598
ENSG00000187621.16_8,0.9926272721386398,TCL6
ENSG00000234880.1_8,0.9924088838611966,LINC00163
ENSG00000228709.3_9,0.9922606469856433,LINC02575
ENSG00000198221.12_13,0.9922548444373427,AFDN-DT
ENSG00000280055.2_7,0.9922341750121171,LINC02912
ENSG00000262223.10_13,0.9921709371276017,LINC03048
ENSG00000183674.12_9,0.9921589779508381,LINC00518
ENSG00000253522.6_8,0.9921516868291711,MIR3142HG
ENSG00000226476.7_12,0.9921004389268379,LINC01748
ENSG00000227533.7_11,0.9920583858027175,SLC2A1-DT
ENSG00000224397.9_12,0.9919448251484116,PELATON
ENSG00000236719.5_10,0.9918737446419362,OVAAL
ENSG00000132204.14_9,0.9917459480149756,LINC00470
ENSG00000196668.4_7,0.9915872997038484,LINC00173
ENSG00000125462.20_13,0.9913273746168261,MIR9-1HG
ENSG00000234492.6_12,0.9913175737652159,RPL34-DT
ENSG00000280623.1_4,0.9912176133087768,PCAT14
ENSG00000274536.9_12,0.9911864396054751,MIR223HG
ENSG00000206195.6,0.9911838714648235,AP000525.9
ENSG00000258754.8_10,0.9910716628920846,LINC01579
ENSG00000236700.8_10,0.9910336234045917,LINC01010
ENSG00000228414.8_11,0.9909059839156136,REL-DT
ENSG00000228590.4_13,0.9908131767093813,MIR4432HG
ENSG00000261324.2_10,0.9907103691716382,ENSG00000261324
ENSG00000245479.3_8,0.9905763554411802,LINC01585
ENSG00000205628.5_11,0.9904909746806999,LINC01446
ENSG00000233593.12_14,0.9904698772250116,LINC02609
ENSG00000237361.5_11,0.9903216167357658,TUSC8
ENSG00000227674.3_10,0.9903101527714182,LINC00355
ENSG00000249917.3_10,0.9902750694413769,LINC00536
ENSG00000226629.1_8,0.9902006462554208,LINC00974
ENSG00000280809.5_8,0.9901663451360736,LINC00836
ENSG00000271270.8_10,0.9900867207214636,TMCC1-DT
ENSG00000261326.4_9,0.9900498043301367,LINC01355
ENSG00000249173.8_12,0.9899989692035923,LINC01093
ENSG00000237686.8_12,0.9899467306052706,SCIRT
ENSG00000251026.2_9,0.9898733259161482,NIHCOLE
ENSG00000225880.6_9,0.9898702472185179,LINC00115
ENSG00000231811.4_12,0.989847604016576,ENSG00000231811
ENSG00000214870.11_12,0.9898187973489869,LINC02981
ENSG00000204091.8_10,0.9897359673192105,TDRG1
ENSG00000253898.1_6,0.9896283996161921,LINC01419
ENSG00000261888.1_5,0.9895365913558051,ENSG00000261888
ENSG00000263711.6_11,0.9895147053051571,LINC02864
ENSG00000197182.16_9,0.989499879475428,MIRLET7BHG
ENSG00000263731.1_11,0.9893722735641418,ENSG00000263731
ENSG00000231106.3_9,0.9893436829645667,LINC01436
ENSG00000260172.2_8,0.9893200171937697,LINC01413
ENSG00000249669.12_12,0.9892233109212407,CARMN
ENSG00000280916.4_9,0.9892222143187859,FOXCUT
ENSG00000248441.9_15,0.9891773021146985,LETR1
ENSG00000227036.10_10,0.9891683331269189,LINC00511
ENSG00000265933.5_6,0.9891514462716539,LINC00668
ENSG00000261655.1_9,0.9890880210580254,ENSG00000261655
ENSG00000235770.6_11,0.989081540548621,LINC00607
ENSG00000268471.6_8,0.9889944690752286,MIR4453HG
ENSG00000237940.3_9,0.9889915912374989,LINC01238
ENSG00000278090.3_10,0.9889512373876382,LUNAR1
ENSG00000275830.4_13,0.9889159962342093,ENSG00000275830
ENSG00000223850.1_8,0.9888813039488088,MYCNUT
ENSG00000226686.10_10,0.9887349422551381,LINC01535
ENSG00000272994.2_9,0.9887337435088237,C2orf49-DT
ENSG00000245870.5_11,0.9887178403693345,LINC00682
ENSG00000226856.9_10,0.9887016689406103,THORLNC
ENSG00000232931.6_10,0.98849902306208,LINC00342
ENSG00000228100.2_9,0.9884307094123129,LINC01820
ENSG00000250899.3_10,0.98833086922537,ENSG00000250899
ENSG00000224209.8_10,0.9880249398931756,LINC00466
ENSG00000281131.1_4,0.9879728702140332,SCHLAP1
ENSG00000226828.2_10,0.9878340413518771,LINC02774
ENSG00000196979.1_10,0.9878050740637115,GPRACR
ENSG00000197251.4_9,0.9877753034598811,LINC00336
ENSG00000230978.2_10,0.9877450543353596,LINC00160
ENSG00000267123.7_10,0.9876797092912749,SCAT1
ENSG00000229404.6_10,0.9875335337158339,LINC00858
ENSG00000198468.11_12,0.9875137788376753,FLVCR1-DT
ENSG00000245614.6_12,0.9874949433112622,DDX11-AS1
ENSG00000215769.8_9,0.9873443534798351,ARHGAP27P1-BPTFP1-KPNA2P3
ENSG00000234323.10_12,0.987327880226666,LINC01505
