model,resample,cv_score,cv_score_mean,cv_score_median,cv_score_std,cv_score_cv
navie bayes,raw ratio,[0.36289491 0.36480478 0.45569914 0.52484498 0.39867201],0.42138316347955723,0.39867200850808765,0.061676120562540536,6.8321930698003
navie bayes,over sample,[0.36212992 0.36160861 0.45503655 0.52393351 0.39638579],0.41981887495007275,0.3963857862116241,0.062202416329848007,6.749237404602584
navie bayes,SMOTE,[0.34484755 0.35005339 0.45172118 0.54257872 0.3943715 ],0.41671446785007327,0.394371504653528,0.07372250640196987,5.652472876843735
KNN,raw ratio,[0.30311174 0.27809355 0.27945971 0.32157076 0.35109084],0.3066653204872415,0.3031117355530102,0.0274405453785997,11.175627752879988
KNN,over sample,[0.26749555 0.22690773 0.22666583 0.29200929 0.26158234],0.25493214870271025,0.26158234184990037,0.02514411056160242,10.13884138307987
KNN,SMOTE,[0.29509529 0.24388414 0.26540977 0.28577998 0.26622589],0.2712790144648469,0.2662258928042296,0.01782107759561018,15.222368737773207
logreg,raw ratio,[0.49765885 0.48607776 0.47457952 0.43514578 0.40510217],0.45971281381875445,0.4745795158453723,0.03447286703118667,13.33549696933721
logreg,over sample,[0.48968584 0.42475042 0.51937976 0.47762214 0.42065701],0.4664190361884694,0.47762213778597074,0.038215516433046146,12.20496488659623
logreg,SMOTE,[0.51177562 0.44323415 0.49567123 0.42867475 0.45722086],0.46731532205541415,0.45722086409689733,0.03148228083012847,14.843756860468462
logreg l1,raw ratio,[0.52559596 0.48001574 0.48696414 0.48064059 0.40701768],0.47604682056266545,0.48064059201342263,0.03840880565991027,12.394210452098124
logreg l1,over sample,[0.50533737 0.42359581 0.50659024 0.47612832 0.42795963],0.46792227346819537,0.4761283158092892,0.036122812588571446,12.953650060356509
logreg l1,SMOTE,[0.53247514 0.45229978 0.49980697 0.440966   0.45565013],0.4762396055219201,0.45565013133903653,0.034522818948074505,13.794922316112952
logreg l2,raw ratio,[0.51980335 0.47942253 0.4865308  0.45466651 0.40147114],0.4683788656959444,0.47942252539754326,0.039396968566791694,11.888703185420923
logreg l2,over sample,[0.50148085 0.42528166 0.51890996 0.49036831 0.41846003],0.47090016022782527,0.49036831317166546,0.04110995813369275,11.454649471945986
logreg l2,SMOTE,[0.53105464 0.45355367 0.50168612 0.44295329 0.45604112],0.4770577680129241,0.45604111999488983,0.0337030438574258,14.154738368173053
logreg elasticnet,raw ratio,[0.52232025 0.47635502 0.48451322 0.46847498 0.41220882],0.472774459649336,0.4763550221924397,0.035474178660972466,13.327284168229864
logreg elasticnet,over sample,[0.50048417 0.42369031 0.51498807 0.48764428 0.42210322],0.46978200732540626,0.4876442752759454,0.03925043360720552,11.968836115970054
logreg elasticnet,SMOTE,[0.53219967 0.45467646 0.50090108 0.44282981 0.45550585],0.4772225722663933,0.4555058462982953,0.03389973092541174,14.077473750939426
SVM(rbf),raw ratio,[0.55490074 0.45524864 0.52089054 0.44649525 0.49177391],0.4938618142631029,0.4917739108562374,0.040485133583066296,12.198596634238854
SVM(rbf),over sample,[0.5199773  0.43311996 0.46512404 0.45080266 0.35367972],0.444540735932008,0.45080266469132646,0.05392535213023467,8.243631582755386
SVM(rbf),SMOTE,[0.56373413 0.4096129  0.41526073 0.43343562 0.35823268],0.4360552127395655,0.4152607326766278,0.06855176452706957,6.360962635285295
SVM(linear),raw ratio,[0.48925022 0.42556857 0.50917617 0.47074656 0.37785106],0.4545185180018282,0.470746557542584,0.04727176403166868,9.615010721777454
